Type;Type #;comment;like;share;Total Interactions;;;
Photo;2;5;204;34;243;;;
Status;3;2;165;22;189;;;
Photo;2;29;1047;98;1174;;;
Photo;2;2;234;40;276;;;
Photo;2;7;250;42;299;;;
Photo;2;4;154;36;194;;;
Status;3;20;150;29;199;;;
Photo;2;4;102;8;114;;;
Photo;2;1;226;44;271;;;
Video;4;6;345;121;472;;;
Photo;2;11;68;11;90;;;
Photo;2;0;62;10;72;;;
Photo;2;5;223;35;263;;;
Photo;2;0;61;6;67;;;
Photo;2;1;104;12;117;;;
Photo;2;3;146;15;164;;;
Photo;2;2;102;15;119;;;
Photo;2;9;766;43;818;;;
Photo;2;0;63;7;70;;;
Photo;2;3;113;17;133;;;
Photo;2;6;442;42;490;;;
Photo;2;9;278;43;330;;;
Photo;2;2;64;7;73;;;
Photo;2;1;52;7;60;;;
Photo;2;0;30;2;32;;;
Photo;2;33;1155;102;1290;;;
Photo;2;2;139;25;166;;;
Photo;2;0;40;5;45;;;
Status;3;2;53;15;70;;;
Photo;2;4;220;19;243;;;
Photo;2;2;114;16;132;;;
Photo;2;0;39;3;42;;;
Photo;2;4;859;68;931;;;
Photo;2;5;137;20;162;;;
Photo;2;1;54;11;66;;;
Photo;2;2;74;22;98;;;
Photo;2;6;98;3;107;;;
Photo;2;2;264;21;287;;;
Photo;2;3;36;11;50;;;
Photo;2;1;11;3;15;;;
Photo;2;4;435;31;470;;;
Photo;2;2;114;10;126;;;
Photo;2;2;17;9;28;;;
Status;3;41;15;1;57;;;
Photo;2;3;87;10;100;;;
Photo;2;16;227;28;271;;;
Photo;2;2;86;8;96;;;
Photo;2;6;179;27;212;;;
Status;3;1;74;11;86;;;
Status;3;18;332;54;404;;;
Photo;2;2;80;21;103;;;
Status;3;9;95;17;121;;;
Photo;2;3;188;26;217;;;
Photo;2;6;109;11;126;;;
Photo;2;64;367;25;456;;;
Photo;2;9;102;19;130;;;
Photo;2;2;113;20;135;;;
Photo;2;0;94;20;114;;;
Status;3;6;14;1;21;;;
Photo;2;1;43;10;54;;;
Photo;2;1;98;21;120;;;
Status;3;3;13;1;17;;;
Photo;2;12;237;45;294;;;
Photo;2;4;112;23;139;;;
Photo;2;2;101;25;128;;;
Photo;2;10;145;31;186;;;
Photo;2;6;535;83;624;;;
Photo;2;4;118;22;144;;;
Status;3;9;484;79;572;;;
Video;4;18;315;76;409;;;
Photo;2;372;5172;790;6334;;;
Photo;2;4;154;30;188;;;
Photo;2;0;73;15;88;;;
Photo;2;0;96;19;115;;;
Photo;2;1;98;19;118;;;
Photo;2;1;53;14;68;;;
Photo;2;4;71;10;85;;;
Photo;2;6;194;34;234;;;
Photo;2;6;226;42;274;;;
Status;3;11;238;51;300;;;
Photo;2;10;755;58;823;;;
Photo;2;30;47;8;85;;;
Photo;2;2;126;32;160;;;
Photo;2;4;104;10;118;;;
Photo;2;10;167;26;203;;;
Photo;2;9;152;41;202;;;
Photo;2;0;128;15;143;;;
Photo;2;13;234;43;290;;;
Photo;2;2;61;16;79;;;
Photo;2;0;66;9;75;;;
Photo;2;7;529;60;596;;;
Photo;2;3;42;10;55;;;
Photo;2;2;75;24;101;;;
Status;3;13;61;13;87;;;
Photo;2;26;162;7;195;;;
Photo;2;2;47;4;53;;;
Photo;2;6;696;28;730;;;
Photo;2;7;215;47;269;;;
Photo;2;22;534;31;587;;;
Photo;2;1;143;27;171;;;
Photo;2;18;46;7;71;;;
Status;3;36;98;14;148;;;
Photo;2;0;25;5;30;;;
Video;4;23;204;44;271;;;
Photo;2;11;202;5;218;;;
Photo;2;7;148;39;194;;;
Photo;2;1;40;8;49;;;
Photo;2;1;71;17;89;;;
Status;3;0;104;13;117;;;
Photo;2;1;34;4;39;;;
Photo;2;11;129;12;152;;;
Status;3;4;72;18;94;;;
Photo;2;0;15;3;18;;;
Photo;2;14;102;9;125;;;
Photo;2;103;469;33;605;;;
Photo;2;5;57;5;67;;;
Photo;2;0;23;2;25;;;
Photo;2;5;141;26;172;;;
Photo;2;0;19;5;24;;;
Photo;2;1;71;23;95;;;
Photo;2;0;72;21;93;;;
Photo;2;5;54;7;66;;;
Photo;2;5;93;19;117;;;
Photo;2;0;62;10;72;;;
Photo;2;0;78;16;94;;;
Photo;2;0;14;1;15;;;
Photo;2;11;231;43;285;;;
Photo;2;1;72;16;89;;;
Photo;2;9;197;28;234;;;
Photo;2;4;330;29;363;;;
Photo;2;0;148;7;155;;;
Photo;2;2;208;28;238;;;
Photo;2;12;148;28;188;;;
Photo;2;4;154;26;184;;;
Photo;2;3;142;18;163;;;
Photo;2;8;107;20;135;;;
Photo;2;0;22;3;25;;;
Photo;2;2;84;13;99;;;
Photo;2;2;59;12;73;;;
Photo;2;3;65;14;82;;;
Photo;2;0;24;4;28;;;
Photo;2;9;186;23;218;;;
Photo;2;0;58;17;75;;;
Photo;2;2;74;14;90;;;
Photo;2;2;180;44;226;;;
Photo;2;18;168;49;235;;;
Photo;2;0;36;5;41;;;
Photo;2;2;51;6;59;;;
Photo;2;2;67;14;83;;;
Photo;2;20;1372;47;1439;;;
Photo;2;2;57;6;65;;;
Photo;2;2;33;10;45;;;
Photo;2;1;79;17;97;;;
Photo;2;3;97;22;122;;;
Photo;2;16;617;58;691;;;
Photo;2;7;139;34;180;;;
Photo;2;20;199;32;251;;;
Photo;2;1;107;26;134;;;
Photo;2;0;50;10;60;;;
Photo;2;0;64;20;84;;;
Status;3;2;55;10;67;;;
Photo;2;1;142;37;180;;;
Photo;2;2;72;9;83;;;
Photo;2;4;79;16;99;;;
Photo;2;25;244;44;313;;;
Photo;2;25;307;58;390;;;
Photo;2;6;212;36;254;;;
Photo;2;2;95;17;114;;;
Photo;2;5;194;33;232;;;
Photo;2;6;101;29;136;;;
Link;1;3;46;14;63;;;
Photo;2;3;156;20;179;;;
Photo;2;37;821;90;948;;;
Photo;2;1;58;13;72;;;
Photo;2;12;155;23;190;;;
Photo;2;45;1639;122;1806;;;
Photo;2;3;155;32;190;;;
Photo;2;4;166;33;203;;;
Status;3;6;210;39;255;;;
Photo;2;4;400;25;429;;;
Photo;2;2;98;18;118;;;
Photo;2;12;138;38;188;;;
Photo;2;3;148;16;167;;;
Photo;2;2;267;40;309;;;
Photo;2;1;144;29;174;;;
Photo;2;25;256;54;335;;;
Photo;2;3;72;24;99;;;
Photo;2;0;87;18;105;;;
Status;3;1;129;36;166;;;
Photo;2;1;179;30;210;;;
Photo;2;9;194;33;236;;;
Photo;2;1;124;32;157;;;
Photo;2;4;304;47;355;;;
Photo;2;12;138;39;189;;;
Photo;2;4;41;9;54;;;
Photo;2;2;163;35;200;;;
Photo;2;45;407;76;528;;;
Status;3;17;447;123;587;;;
Link;1;7;38;11;56;;;
Photo;2;2;93;26;121;;;
Photo;2;0;59;16;75;;;
Photo;2;0;286;30;316;;;
Photo;2;0;66;13;79;;;
Photo;2;8;236;51;295;;;
Photo;2;2;152;11;165;;;
Photo;2;51;1998;128;2177;;;
Photo;2;8;186;18;212;;;
Photo;2;11;235;34;280;;;
Photo;2;1;64;22;87;;;
Photo;2;2;92;28;122;;;
Photo;2;3;53;13;69;;;
Photo;2;5;140;38;183;;;
Photo;2;0;48;8;56;;;
Photo;2;0;112;14;126;;;
Photo;2;0;35;5;40;;;
Photo;2;4;37;3;44;;;
Photo;2;0;48;14;62;;;
Photo;2;6;766;109;881;;;
Photo;2;1;96;18;115;;;
Photo;2;1;57;13;71;;;
Photo;2;3;114;21;138;;;
Photo;2;1;51;6;58;;;
Photo;2;1;87;27;115;;;
Photo;2;5;81;11;97;;;
Photo;2;1;71;18;90;;;
Photo;2;9;164;52;225;;;
Photo;2;5;91;26;122;;;
Photo;2;9;329;38;376;;;
Photo;2;4;128;17;149;;;
Link;1;1;379;40;420;;;
Photo;2;1;52;24;77;;;
Photo;2;1;63;26;90;;;
Photo;2;2;97;25;124;;;
Photo;2;2;56;9;67;;;
Link;1;1;36;7;44;;;
Photo;2;4;138;26;168;;;
Photo;2;7;142;24;173;;;
Photo;2;1;75;15;91;;;
Photo;2;1;89;14;104;;;
Photo;2;2;63;16;81;;;
Photo;2;3;176;29;208;;;
Photo;2;7;227;15;249;;;
Status;3;3;25;6;34;;;
Photo;2;0;0;0;0;;;
Photo;2;1;27;11;39;;;
Photo;2;0;39;14;53;;;
Photo;2;0;61;13;74;;;
Photo;2;0;32;7;39;;;
Photo;2;0;2;0;2;;;
Photo;2;8;109;3;120;;;
Photo;2;0;32;6;38;;;
Link;1;2;68;15;85;;;
Photo;2;0;6;1;7;;;
Photo;2;4;213;13;230;;;
Photo;2;0;2;0;2;;;
Photo;2;0;3;0;3;;;
Link;1;0;6;0;6;;;
Photo;2;0;4;0;4;;;
Photo;2;0;4;1;5;;;
Photo;2;12;211;14;237;;;
Photo;2;1;15;1;17;;;
Photo;2;11;95;4;110;;;
Photo;2;16;127;0;143;;;
Photo;2;0;136;13;149;;;
Link;1;2;32;15;49;;;
Photo;2;1;76;9;86;;;
Photo;2;1;28;7;36;;;
Photo;2;0;0;0;0;;;
Photo;2;10;664;97;771;;;
Photo;2;1;62;10;73;;;
Photo;2;0;48;20;68;;;
Photo;2;1;55;7;63;;;
Photo;2;10;197;21;228;;;
Photo;2;6;88;24;118;;;
Photo;2;2;59;6;67;;;
Photo;2;6;234;26;266;;;
Photo;2;3;148;21;172;;;
Photo;2;0;96;29;125;;;
Photo;2;4;49;15;68;;;
Photo;2;3;98;27;128;;;
Photo;2;14;198;70;282;;;
Photo;2;5;159;53;217;;;
Photo;2;1;22;6;29;;;
Photo;2;6;154;18;178;;;
Photo;2;5;128;32;165;;;
Photo;2;2;129;32;163;;;
Photo;2;146;1546;181;1873;;;
Photo;2;5;79;11;95;;;
Photo;2;19;214;78;311;;;
Photo;2;8;134;34;176;;;
Photo;2;9;268;36;313;;;
Photo;2;4;128;38;170;;;
Photo;2;3;47;21;71;;;
Photo;2;1;200;37;238;;;
Photo;2;5;264;36;305;;;
Photo;2;10;193;61;264;;;
Link;1;4;114;13;131;;;
Photo;2;7;160;57;224;;;
Photo;2;0;46;15;61;;;
Photo;2;4;136;42;182;;;
Photo;2;0;73;13;86;;;
Photo;2;0;65;19;84;;;
Photo;2;7;579;47;633;;;
Link;1;1;101;5;107;;;
Photo;2;1;74;31;106;;;
Photo;2;7;84;36;127;;;
Photo;2;56;360;99;515;;;
Link;1;0;5;2;7;;;
Photo;2;3;187;36;226;;;
Photo;2;2;69;26;97;;;
Photo;2;2;82;24;108;;;
Link;1;0;12;2;14;;;
Photo;2;2;56;25;83;;;
Photo;2;1;44;21;66;;;
Photo;2;21;277;80;378;;;
Photo;2;1;74;28;103;;;
Photo;2;1;79;30;110;;;
Photo;2;1;105;46;152;;;
Link;1;0;128;9;137;;;
Photo;2;17;185;55;257;;;
Photo;2;10;125;41;176;;;
Photo;2;5;53;26;84;;;
Photo;2;0;53;22;75;;;
Photo;2;4;93;18;115;;;
Photo;2;7;91;38;136;;;
Photo;2;0;91;28;119;;;
